10 880046.69 1994720.38 2857207.25
15 882483.81 1991928.75 2846475.00
20 888563.50 1986693.38 2834326.25
25 888194.81 1981572.12 2897211.50
30 884085.31 1975225.25 2837426.00
35 882826.56 1979232.00 2780444.25
40 883612.62 1980452.25 2825066.50
45 863276.62 1970243.62 2881424.75
50 862657.12 1974602.25 2893633.25
55 886447.00 1972678.00 2871814.00
60 877643.12 1989945.88 2833525.00
65 867364.69 1990232.25 2897866.50
70 870096.50 1996047.12 2885848.25
75 874958.88 1989363.38 2823526.00
80 880669.75 1990361.00 2800346.25
85 884359.75 1998152.75 2815798.00
90 888001.31 1995518.12 2807873.50
95 885498.25 1984442.25 2844697.25
100 880488.19 1990282.75 2880975.75
105 879944.94 1975981.50 2800730.25
