10 307052.19 695388.50 996391.12
15 307837.09 694321.62 992564.81
20 309989.19 692593.88 988505.06
25 309781.62 690878.81 1010454.94
30 308180.56 688566.12 989349.81
35 307753.25 689932.19 969620.06
40 308073.19 690564.19 985174.94
45 301093.69 686970.75 1005040.38
50 300957.34 688440.88 1009342.38
55 309581.19 687775.12 1001637.19
60 307710.00 693740.38 988446.56
65 304948.03 693918.50 1010758.88
70 305106.59 696053.12 1006749.69
75 305969.31 693468.94 985027.00
80 307796.34 693640.88 976950.38
85 308743.50 696533.06 982354.25
90 309912.16 695516.62 980767.00
95 309046.25 691558.25 995097.19
100 307150.50 693653.12 1006191.12
105 306744.50 688779.69 977589.12
