10 108409.03 340250.25 626297.56
15 165513.42 339295.03 637121.50
20 164698.30 335435.78 652648.56
25 160620.27 335059.59 641891.75
30 162734.11 337493.06 655262.56
35 163554.03 338393.75 643379.56
40 163861.05 339120.06 641291.62
45 162766.34 342667.19 675570.25
50 161513.89 340605.72 654704.25
55 161223.44 341699.62 657366.62
60 160084.95 341284.12 607592.81
65 161887.38 338528.38 646010.94
70 161027.08 336524.69 644323.00
75 162428.62 338795.47 633168.12
80 163718.25 340152.41 622023.44
85 161430.64 339559.44 637632.19
90 161474.27 343687.81 645498.12
95 160900.98 338588.66 641982.25
100 160870.67 338614.78 645897.00
105 203132.02 336034.75 655024.69
110 279463.59 339248.91 637829.06
115 160985.34 341801.62 622922.75
