10 309233.75 975447.00 1796179.25
15 473076.31 972247.06 1827917.38
20 471134.75 961729.88 1872058.12
25 459352.50 960854.88 1841386.50
30 465551.31 967844.31 1879621.25
35 467746.94 970321.75 1845789.62
40 468938.41 972510.75 1839939.62
45 466170.75 982432.12 1938246.75
50 462832.12 976197.56 1878044.25
55 461546.41 979764.56 1885349.75
60 458151.06 978857.06 1742818.75
65 462797.78 970768.69 1852650.38
70 459305.25 965091.69 1847897.25
75 459221.78 970878.00 1815832.25
80 462628.31 974843.44 1783575.88
85 457683.19 974019.19 1829168.25
90 459344.50 985649.38 1850399.88
95 458408.44 970703.19 1841673.62
100 459894.41 971404.31 1846520.62
105 580170.88 963969.31 1872649.75
110 799339.88 973164.81 1825760.62
115 460870.91 980146.19 1784006.62
